SKU,Name,Price,description,Attribute 1 name,Attribute 1 value(s),categories,images
Giaydabong_AKKASPEED2FG_Trang,Giày đá bóng AKKA Speed2 - FG - Trắng/Đồng,"590,000",,Size,40 39 41 42 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20231027_s54mTZMyCA.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_YDvnJmuXmMV0b6nSz4cQh1UN.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_AGyhYK17kF4fIoedHjr5xZAr.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_ko0b3ia43JTlaeYNEZyG6Jxg.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_CcAXcFwXvSWHXzA0HieNvvcE.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_fHBX6bW7XhCxj7JcFQ7p35aF.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_LISORIj6lwqjzSDFBH79JtRm.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_4rFDlkFDxqu1t6YZsBtLdRuq.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221116_wBe15pck3P8zbhORzQxEwSWZ.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221109_rtvK0eO3zWXj6IWrLAvc0XXD.jpg,"
Giaydabong_AKKASPEED2FG_Xanhtrang,Giày đá bóng AKKA Speed2 - FG - Xanh biển,"590,000",,Size,40 39 41 42 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20231027_tYgdF1v2dm.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_QwZPhPoIdrP5zzhwfAG1QCDQ.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_ZxXtLvjVpp66ZRl4TokYrEsH.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_dt3uq7J65qxvfhg5zKs7rbRP.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_VVfkAeh5OYhp6n3RekeHU4Wb.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_kdgW0ILLRX9uk79YhzkUJPfN.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_mPuDyvvDMwW3ceT3GYfXqhFh.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_pQIaLHLPdaMI2iaBVHX3YJ0m.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_7GnHDNRzefSYFHXHX5cHNCMu.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220426_T4BkC6kciKEmL94oYd4vpSft.jpg,"
Giaydabong_AKKASPEED2FG_Baccam,Giày đá bóng AKKA Speed2 - FG - Bạc/Cam,"590,000",,Size,40 39 41 42 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20231027_I8G3wC95vG.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_8DM1sdMy0Lt6MYhsPzkBn9rh.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_Rf4ThvgscmGPqOh7emrSkzA3.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_As9CSiyHVgx9ZpYSXBDwXcDd.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_znpxvHSWtynQZNWLe2e6epvj.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_9axIy37OpoMh9T8yg0Y5ZQfR.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_TYaI0fUIHf0MbOzmI0hsNymB.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_vlIPrHzcRPsepfO2rTXZYpbz.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_BYtgO1ddt88KvnLtibedGx83.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220426_BbTW6lKuDdtaQB07wfCuIjaJ.jpg,"
Giaydabong_AKKASPEED2FG_Xanhngoc,Giày đá bóng AKKA Speed2 - FG - Xanh ngọc,"590,000",,Size,40 39 41 42 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20231027_tRWuvfJLj9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230523_28t4xxqvt5.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_BilryCMbEKWiQfY7kRCKkbgJ.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_EtpNzKNmKDcEQmIRzZW5XLD3.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_lIW5czPWdBQn4LYTE5fSUWxj.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_qXjSQMHtOyhxirUfm8zVUdH7.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_InAiBP13nFRVo4VN2f3d8JWE.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_MqVFWmskSt3je0aE9211hjU1.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_KxQ4qt1p79OODNfn7Smx8dfX.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_OzQ58bcaY8jKSQxFfnDyxxAY.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_r86RhGXHzWqZSr0QaOuEUYFt.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_64wKo6z0StE4Q7ZLViy7NLSr.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220720_sLSbWE63Gna7RDbfLsnOi74Q.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220426_sQjXVzV6gZwwysZEQ2rUpf5w.jpg,"
GZ0015,Adidas Predator Accuracy.3 L FG - Xanh/Trắng - GZ0015,"1,850,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20231017_fHBOwlF74P.jpeg,"
GY7428,Adidas X Crazyfast.3 FG Xanh/Trắng GY7428,"1,850,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20231017_olpDg9OXBH.jpeg,"
P1GA232564,Mizuno Monar Neo II Select FG (Neo 2) - Đỏ/Tr - P1GA232564,"1,550,000",,Size,40 39 40.5 41 42 42.5 43,30,"https://pos.nvncdn.com/b0b717-26181/ps/20231009_qkVN5EoTox.jpeg,"
IG0758,Adidas X Crazyfast INJ.3 FG Đen/Xanh neon - IG0758,"2,400,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20230929_w8zIrh3nYI.jpeg,"
IE4078,Adidas X Crazyfast.3 Messi FG - Xám/Xanh - IE4078,"1,950,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20230819_CxRUDZ0BPU.jpeg,"
HQ4534,Adidas X Crazyfast.3 FG Trắng/Vàng HQ4534,"1,850,000",,Size,40 39 40.5 41 42 42.5 43 44,30,"https://pos.nvncdn.com/b0b717-26181/ps/20230720_3cMqEVRd1R.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230726_YSXYljbqZC.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230726_RZ8LoPoKQw.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230726_5thc5Q6PWp.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230726_WDjHoynvjU.jpeg,"
