SKU,Name,Price,description,Attribute 1 name,Attribute 1 value(s),brand,categories,images
IF0679,Kids Adidas X Crazyfast League TF Đỏ/Trắng - IF0679,"1,530,000",,Size,38.5 38 35.5 36 36.5 37,Adidas,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240410_pCKpUFlLpm.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240410_LQKpba7Hif.jpeg,"
Giaydabong_AKKAKIDSPEED2_Xanhngoc,Giày AKKA Kid Speed 2 - Xanh ngọc,"370,000",,Size,39 34 38 35 36 37,AKKA,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240314_8K8LWK3m1v.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20231025_DVmhgWf0Cn.jpeg,"
Giaydabong_AKKAKIDSPEED2_Trang,Giày AKKA Kid Speed 2 - Trắng/Đồng,"370,000",,Size,34 38 35 36 37,AKKA,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240314_RbeB1O4HMy.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20231025_8X5xEqgET8.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20221128_0b7wFc5yAp6egvtiuzS3eLTd.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221128_Jg3YVqTQBMNC4TNIt3bTfwpx.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221128_VVHfZsDeNTjANdb9VHCgFBHn.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221128_29UyJbnxSbuxOrFHkCCNImRV.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221128_ySIoooVWQXsFm6A5MdsciOic.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221128_9doaXcAs459e4B2zw8oB0ouD.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20221128_I477u8H1KsDHKeR0Py0csMdg.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220714_6H1PMuTqwzAiQxC9CxizTOl5.jpg,"
2.0001E+12,Giày AKKA Kid Speed 2-Xbiển/Tr,"370,000",,Size,31 32 33 34 38 35 36 37,AKKA,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240314_TGN9OW16w9.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20231025_fWdIqyxBxp.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20200118_qKxCNPYClInyzROQJ3JA5EVn.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20200118_e33l0f1zh8yX6OFx338n8Dj5.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20200118_MrKYrGb0nCzUt7u55zJWdDpi.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20210803_2Mng3p3IFF7TXXvAIPhKWH5r.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20190817_PeKGermQDabkklNkAV8LrIfB.jpg,"
Giaydabong_AKKAKIDSPEED2_Baccam,Giày AKKA Kid Speed 2-Bạc/cam,"370,000",,Size,32 33 34 38 35 36 37,AKKA,31,"https://pos.nvncdn.com/b0b717-26181/ps/20231025_CFHltPFf2Z.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20200118_AbrDiBw6LzOkRbFzsgU4IleZ.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20200118_HJe9qO9sO0TYu07QbWwiY3VH.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20200118_5KihubUKgHo62gbSb5W74tw7.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20210803_fuJXiDxJ9OTPb7VZOmKMWfk4.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20190817_JLLoNEYULXzgyQxkIa4E5TXG.jpg,"
IF0681,Kids Adidas X Crazyfast League TF Vàng Neon - IF0681,"1,490,000",,Size,38.5 38 35 35.5 36 36.5 37 37.5,Adidas,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240314_DcM2Mx0b1i.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240302_p5ab6oT9sr.jpeg,"
KMTF240120K,Kamito Velocidad Legend TF KID - Xanh mint,"480,000",,Size,30 31 32 33 34 35 36 37,Kamito,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240427_tzpfISqhaT.jpeg,"
KMTF240130K,Kamito Velocidad Legend TF KID - Vàng,"480,000",,Size,30 31 32 33 34 35 36 37,Kamito,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240427_YhGV5kYovL.jpeg,"
DD9557-300,Jr Nike Phantom GX Academy - Xanh ngọc - DD9557-300,"1,520,000",,Size,38.5 38 35 35.5 36 36.5 37,Nike,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240314_GSDRw3UN9E.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240116_ssVGTXDdhQ.jpeg,"
DV4351-300,Jr Nike Tiempo Legend 10 Academy TF - Xanh ngọc - DV4351-300,"1,520,000",,Size,38.5 38 35 35.5 36 36.5 37,Nike,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240314_YKu3TsueXS.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240116_aiO5DmMh4q.jpeg,"
DJ5954-300,Nike Zoom Mercurial Superfly IX Club Kids TF - Xanh ngọc - DJ5954-300,"1,350,000",,Size,38.5 38 35 35.5 36 36.5 37,Nike,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240314_6xrEtg8cJd.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240116_aCmWssZOVi.jpeg,"
KMKA230160,Kamito Velocidad Legend TF KID - Cam/Đen,"480,000",,Size,33 34 35 36 37,Kamito,31,"https://pos.nvncdn.com/b0b717-26181/ps/20240102_18WGIWi9h4.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20240102_ozp0iK9Ecn.jpeg,"
IE1568,Kids Adidas X Crazy Fast.3 TF - Trắng/Xanh,"1,550,000","- Form giày: Dành cho chân hơi bè hoặc thon- Trọng lượng: khá nhẹ. Tuy nhiên không phải là nhẹ nhất trong các dòng cỏ nhân tạo.-Chất liệu da: Giả da. Khá mềm, ngoài ra so với bản cũ thì  dày dặn hơn một chút nên độ bền cao hơn.- Lưỡi gà là vải dệt liền thân giúp tăng độ thật chân và không lo bị lệch .- Cổ chun giúp ôm cổ chân hơn, đồng thời hạn chế cao su vào giày. Ngoài ra nhìn cũng thẩm mỹ hơn, cảm giác chân và giày liền 1 khối.- Gót được trang bị lớp nỉ khá dày nên rất êm- Phần đệm ở đế là đệm Eva - một loại đểm nổi tiếng thường sử dụng trong các dòng giày thể thao với độ đàn hồi cũng như độ ổn đinh cao.- Đinh cao su thiết kế: hình mũi tên tạo tính cơ năng khi bứt tốc.",Size,38.5 34 38 35 35.5 36 36.5 37,Adidas,31,"https://pos.nvncdn.com/b0b717-26181/ps/20231025_doY0KkFqw2.jpeg,"
KMKA220724,Kamito Velocidad Legend TF KID - Xanh ngọc,"480,000",,Size,33 34 35 36 37,Kamito,31,"https://pos.nvncdn.com/b0b717-26181/ps/20230629_0K2oOLDyCs.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230629_UZARX5aPyH.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230629_aJ4jRJwlP7.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230629_bNEyVdZhZB.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20230629_wR0NYMT8Rd.jpeg,"
KMKA221013,Kamito TA11 Woncup KID TF Đỏ/Trắng,"490,000",,Size,33 34 35 36 37,Kamito,31,"https://pos.nvncdn.com/b0b717-26181/ps/20221104_mhJb8rIFfg6Ql7AFhqiDvbxk.jpg,"
GV8503,Giày đá bóng trẻ em Adidas Predator Egde.3 TF - Đỏ - GV8503,"1,390,000",,Size,38.5 38 35 35.5 36 36.5 37,Adidas,31,"https://pos.nvncdn.com/b0b717-26181/ps/20231025_2G4EB55t2x.jpeg,https://pos.nvncdn.com/b0b717-26181/ps/20220926_66L6YpBbTGVSC2Ps088zARlx.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220926_7DdPLwdqc528g8OsmVgZ4LgY.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220926_6y6irzJPaqM898xyR6FXk4a7.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220926_DNHrNZtWlZ0OZZDYnqM9rNKP.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220916_nNMSIjrrZTR9in45x0u9VWfk.jpg,"
KIDGW8489,Giày bóng đá trẻ em Adidas X Speedportal.3 TF Jr Xanh cây - GW8489,"1,390,000",,Size,38.5 38 35.5 36.5 37,Adidas,31,"https://pos.nvncdn.com/b0b717-26181/ps/20220802_XZwHKttMmXDDVJzs23fpqVik.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220804_9AeXM8hRMcv9NeFqPgaROPJK.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220804_0I9IyaGPKcUpWM5SgW0tTpNy.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220804_oq7hSR7aNybyzbxJsJQbTe1I.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220804_4OXJXTsxjMWHSwXTAJPfysn9.jpg,https://pos.nvncdn.com/b0b717-26181/ps/20220804_qOzYfGmRAEoFn3GweWsn9EoP.jpg,"
TA11-KID-XB,KID Kamito TA11 TF Xanh Biển,"490,000",,Size,34 35 36 37,Kamito,31,"https://pos.nvncdn.com/b0b717-26181/ps/20220421_cX3TLWSqy0LOKdQmRnkWMF0e.jpeg,"
TA11-KID-D,KID Kamito TA11 TF Đỏ,"490,000",,Size,34 35 36 37,Kamito,31,"https://pos.nvncdn.com/b0b717-26181/ps/20220421_mvYa9MN0ulY1fRrhe9ju4qG5.jpeg,"
